index,name,rotation,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
112,Display 80 Percent,0,0,35,0,212,0,212,0,212,0,83,0,212,0,212,0,35
113,Display 80 Percent,1,0,59,0,196,0,196,0,59,0,0,0,63,0,192,0,63
114,Display 80 Percent,2,0,49,0,202,0,202,0,178,0,202,0,202,0,202,0,49
115,Display 80 Percent,3,0,63,0,192,0,63,0,0,0,55,0,200,0,200,0,55
116,Display 90 Percent,0,0,35,0,212,0,212,0,87,0,84,0,84,0,84,0,163
117,Display 90 Percent,1,0,176,0,200,0,200,0,63,0,0,0,63,0,192,0,63
118,Display 90 Percent,2,0,113,0,138,0,138,0,138,0,186,0,202,0,202,0,49
119,Display 90 Percent,3,0,63,0,192,0,63,0,0,0,63,0,196,0,196,0,67
120,Display 100 Percent,0,0,227,0,144,0,144,0,147,0,144,0,144,0,144,0,224
121,Display 100 Percent,1,0,255,0,72,0,72,0,0,0,0,0,63,0,192,0,192
122,Display 100 Percent,2,0,193,0,66,0,66,0,66,0,114,0,66,0,66,0,241
123,Display 100 Percent,3,0,192,0,192,0,63,0,0,0,0,0,132,0,132,0,255
